Pokedex Number,Species,Type,Buddy Candy Distance (in kilometers),Number of Candies to Evolve,Evolves From,Evolves To,Region,Generation,ExtD
Pokedex #85,Dodrio,"Normal, Flying",3,,Doduo,,Kanto,I,
Pokedex #86,Seel,Water,3,50,,Dewgong,Kanto,I,
Pokedex #87,Dewgong,"Water, Ice",3,,Seel,,Kanto,I,
Pokedex #88,Grimer,Poison,3,50,,Muk,Kanto,I,
Pokedex #89,Muk,Poison,3,,Grimer,,Kanto,I,
Pokedex #90,Shellder,Water,3,50,,Cloyster,Kanto,I,
Pokedex #91,Cloyster,"Normal, Flying",3,,Shellder,,Kanto,I,
Pokedex #92,Gastly,"Ghost, Poison",3,25,,Haunter,Kanto,I,
Pokedex #93,Haunter,"Ghost, Poison",3,100,Gastly,Gengar,Kanto,I,
Pokedex #94,Gengar,"Ghost, Poison",3,,Haunter,,Kanto,I,
Pokedex #95,Onix,"Rock, Ground",5,,,,Kanto,I,
Pokedex #96,Drowzee,Psychic,3,50,,Hypno,Kanto,I,
Pokedex #97,Hypno,Psychic,3,,Drowzee,,Kanto,I,
Pokedex #98,Krabby,Water,3,50,,Kingler,Kanto,I,
Pokedex #99,Kingler,Water,3,,Krabby,,Kanto,I,
Pokedex #100,Voltorb,Electric,3,50,,Electrode,Kanto,I,
Pokedex #101,Electrode,Electric,3,,Voltorb,,Kanto,I,
Pokedex #102,Exeggcute,"Grass, Psychic",3,50,,Exeggutor,Kanto,I,
Pokedex #103,Exeggutor,"Grass, Psychic",3,,Exeggcute,,Kanto,I,
Pokedex #104,Cubone,Ground,3,50,,Marowak,Kanto,I,
Pokedex #105,Marowak,Ground,3,,Cubone,,Kanto,I,
Pokedex #106,Hitmonlee,Fighting,5,,,,Kanto,I,
Pokedex #107,Hitmonchan,Fighting,5,,,,Kanto,I,
Pokedex #108,Lickitung,Normal,3,,,,Kanto,I,
Pokedex #109,Koffing,Poison,3,50,,,Kanto,I,
Pokedex #110,Weezing,Poison,3,,Koffing,,Kanto,I,
Pokedex #111,Rhyhorn,"Ground, Rock",3,25,,Rhydon,Kanto,I,
Pokedex #112,Rhydon,"Ground, Rock",3,,Rhyhorn,,Kanto,I,
Pokedex #113,Chansey,Normal,5,,,,Kanto,I,
Pokedex #114,Tangela,Grass,3,,,,Kanto,I,
Pokedex #115,Kangaskhan,Normal,3,,,,Kanto,I,
Pokedex #116,Horsea,Water,3,25,,Seadra,Kanto,I,
Pokedex #117,Seadra,Water,3,,Horsea,,Kanto,I,
Pokedex #118,Goldeen,Water,3,50,,Seaking,Kanto,I,
Pokedex #119,Seaking,Water,3,,Goldeen,,Kanto,I,
Pokedex #120,Staryu,Water,3,50,,Starmie,Kanto,I,
Pokedex #121,Starmie,"Water, Psychic",3,,Staryu,,Kanto,I,
Pokedex #122,Mr. Mime,"Psychic, Fairy",5,,,,Kanto,I,
Pokedex #123,Scyther,"Bug, Flying",5,50,,,Kanto,I,
Pokedex #124,Jynx,"Ice, Psychic",5,,,,Kanto,I,
Pokedex #125,Electabuzz,Electric,5,,,,Kanto,I,
Pokedex #126,Magmar,Fire,5,,,,Kanto,I,
Pokedex #127,Pinsir,Bug,5,,,,Kanto,I,
Pokedex #128,Tauros,Normal,3,,,,Kanto,I,
Pokedex #129,Magikarp,Water,1,400,,Gyarados,Kanto,I,
Pokedex #130,Gyarados,"Water, Flying",1,,Magikarp,,Kanto,I,
Pokedex #131,Lapras,"Water, Ice",5,,,,Kanto,I,
Pokedex #132,Ditto,Normal,3,,,,Kanto,I,
Pokedex #133,Eevee,Normal,5,25,,Vaporeon; Jolteon; Flareon,Kanto,I,
Pokedex #134,Vaporeon,Water,5,,Eevee,,Kanto,I,
Pokedex #135,Jolteon,Electric,5,,Eevee,,Kanto,I,
Pokedex #136,Flareon,Fire,5,,Eevee,,Kanto,I,
Pokedex #137,Porygon,Normal,3,,,,Kanto,I,
Pokedex #138,Omanyte,"Rock, Water",5,50,,Omastar,Kanto,I,
Pokedex #139,Omastar,"Rock, Water",5,,Omanyte,,Kanto,I,
Pokedex #140,Kabuto,"Rock, Water",5,50,,Kabutops,Kanto,I,
Pokedex #141,Kabutops,"Rock, Water",5,,Kabuto,,Kanto,I,
Pokedex #142,Aerodactyl,"Rock, Flying",5,,,,Kanto,I,
Pokedex #143,Snorlax,Normal,5,,,,Kanto,I,
Pokedex #144,Articuno,"Ice, Flying",20,,,,Kanto,I,Legendary
Pokedex #145,Zapdos,"Electric, Flying",20,,,,Kanto,I,Legendary
Pokedex #146,Moltres,"Fire, Flying",20,,,,Kanto,I,Legendary
Pokedex #147,Dratini,Dragon,5,25,,Dragonair,Kanto,I,
Pokedex #148,Dragonair,Dragon,5,100,Dratini,Dragonite,Kanto,I,
Pokedex #149,Dragonite,"Dragon, Flying",5,,Dragonair,,Kanto,I,
Pokedex #150,Mewtwo,Psychic,20,,,,Kanto,I,Legendary
Pokedex #151,Mew,Psychic,20,,,,Kanto,I,Mythical
Pokedex #152,Chikorita,Grass,3,25,,Bayleef,Johto,II,
Pokedex #153,Bayleef,Grass,3,100,Chikorita,Meganium,Johto,II,
Pokedex #154,Meganium,Grass,3,,Bayleef,,Johto,II,
